"x"
"d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium longum",14
"d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Olsenella|s_Olsenella sp. GAM18",22
"d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Atopobiaceae|g_Olsenella|s_Olsenella umbonata",6
"d_Bacteria|p_Actinobacteria|c_Coriobacteriia|o_Coriobacteriales|f_Coriobacteriaceae|g_Collinsella|s_Collinsella aerofaciens",13
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides caccae",22
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides caecimuris",2
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides cellulosilyticus",11
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides dorei",2
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides fragilis",1
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides helcogenes",16
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides heparinolyticus",20
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides intestinalis",20
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides ovatus",3
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides salanitronis",20
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides sp. A1C1",12
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides sp. CBA7301",22
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides thetaiotaomicron",10
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides uniformis",6
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides vulgatus",2
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides xylanisolvens",2
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides zoogleoformans",22
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Barnesiellaceae|g_Barnesiella|s_Barnesiella viscericola",20
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae|g_Duncaniella|s_Duncaniella dubosii",11
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae|g_Muribaculum|s_Muribaculum intestinale",20
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae|g_Muribaculum|s_Muribaculum sp. TLL-A4",11
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Muribaculaceae|s_Muribaculaceae bacterium DSM 108610",16
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Odoribacteraceae|g_Odoribacter|s_Odoribacter splanchnicus",16
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Porphyromonas|s_Porphyromonas asaccharolytica",10
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Alloprevotella|s_Alloprevotella sp. E39",11
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Paraprevotella|s_Paraprevotella xylaniphila",20
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella dentalis",11
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella denticola",12
"d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella enoeca",12
